,空間利用率(%),重量利用率(%),重量バランススコア,積載率(%),実行時間(秒)
Layer Based 3D Algorithm,19.20947342631901,35.548942093600225,0.1054469779138071,66.66666666666666,0.0033779144287109375
Multi-Layer 3D Algorithm,12.393930121069175,26.036253045622924,0.18202217839795704,33.33333333333333,0.0011875629425048828
Rotation-Enhanced Algorithm,21.720779282698714,64.4604925587605,0.06966506651172252,100.0,0.5571794509887695
Weight-Balanced 3D Algorithm,21.720779282698714,64.4604925587605,0.014748870485593946,100.0,119.07329058647156
Combined Optimization Algorithm,19.40990118075296,58.227886363108226,0.014829244651901519,93.33333333333333,173.98086977005005
